,/Users/pslive1/Documents/Walk_Projext/BDL004_Goose_EyeTracking_Walk/BDL004_Goose_EyeTracking_Walk.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,ToCut,all_classes,fixation_classes
27,BDL004_Goose_EyeTracking_Walk.mov,28,fixation,376,12450.0,12751.66667,301.666667,12481.66667,00:12.6,176.73,329.29,104,104,,building building building person person person person plant_vertical,
28,BDL004_Goose_EyeTracking_Walk.mov,29,fixation,389,12951.66667,13085.0,133.333333,12916.66667,00:13.0,215.39,447.06,57,103,,building building person plant_horizontal plant_vertical,person
29,BDL004_Goose_EyeTracking_Walk.mov,30,fixation,426,14220.0,14320.0,100.0,14151.666669999999,00:14.2,335.52,434.7,67,66,,building building person plant_vertical,
30,BDL004_Goose_EyeTracking_Walk.mov,31,fixation,432,14386.666669999999,14520.0,133.333333,14351.666669999999,00:14.4,274.9,439.11,92,92,,building building pavement plant_horizontal plant_vertical plant_vertical sky,building
31,BDL004_Goose_EyeTracking_Walk.mov,32,fixation,439,14653.333330000001,14753.333330000001,100.0,14585.0,00:14.7,389.03,430.35,60,66,,bench_chair bench_chair building building building pavement pavement plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical pole,plant_horizontal
32,BDL004_Goose_EyeTracking_Walk.mov,33,fixation,494,16455.0,16623.33333,168.333333,16420.0,00:16.5,409.97,404.01,76,63,,building building building pavement pavement plant_horizontal plant_vertical plant_vertical pole sky,plant_horizontal
33,BDL004_Goose_EyeTracking_Walk.mov,34,fixation,521,16623.33333,18258.33333,1635.0,17321.66667,00:17.4,362.35,356.19,76,72,,building building pavement pavement plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical sky,
34,BDL004_Goose_EyeTracking_Walk.mov,35,fixation,555,18525.0,18625.0,100.0,18456.66667,00:18.5,231.67,474.3,88,88,,bench_chair building building pavement pavement plant_horizontal plant_horizontal plant_horizontal plant_vertical pole sky,
35,BDL004_Goose_EyeTracking_Walk.mov,36,fixation,565,18725.0,19091.66667,366.666667,18790.0,00:18.9,209.82,411.99,65,73,,bench_chair building building pavement person plant_horizontal plant_vertical plant_vertical pole sky,pavement
36,BDL004_Goose_EyeTracking_Walk.mov,37,fixation,593,19426.66667,20226.66667,800.0,19725.0,00:19.8,180.63,215.05,52,51,,building building pavement person person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical pole sky sky,person
37,BDL004_Goose_EyeTracking_Walk.mov,38,fixation,628,20661.66667,21328.33333,666.666667,20893.33333,00:21.0,185.86,238.98,66,65,,building pavement person person plant_vertical plant_vertical plant_vertical,person
38,BDL004_Goose_EyeTracking_Walk.mov,39,fixation,645,21495.0,21628.33333,133.333333,21460.0,00:21.5,165.08,401.2,64,67,,building pavement person person plant_vertical plant_vertical plant_vertical plant_vertical sky,person
39,BDL004_Goose_EyeTracking_Walk.mov,40,fixation,649,21663.33333,21763.33333,100.0,21595.0,00:21.7,121.99,266.94,60,68,,building building building pavement person person person plant_horizontal plant_vertical plant_vertical plant_vertical sky,
40,BDL004_Goose_EyeTracking_Walk.mov,42,fixation,671,22363.33333,22496.66667,133.333333,22328.33333,00:22.4,179.41,390.79,64,61,,building car pavement person person person plant_vertical plant_vertical sky,person
41,BDL004_Goose_EyeTracking_Walk.mov,43,fixation,679,22596.66667,22830.0,233.333333,22595.0,00:22.7,143.48,373.97,84,84,,building person plant_vertical plant_vertical sky sky sky,person
42,BDL004_Goose_EyeTracking_Walk.mov,44,fixation,692,23098.33333,23198.33333,100.0,23030.0,00:23.1,198.6,433.49,84,84,,building pavement person person plant_vertical plant_vertical plant_vertical sky sky,person
43,BDL004_Goose_EyeTracking_Walk.mov,45,fixation,698,23265.0,23398.33333,133.333333,23230.0,00:23.3,218.06,411.96,20,44,,person person plant_vertical plant_vertical plant_vertical sky sky,person
44,BDL004_Goose_EyeTracking_Walk.mov,46,fixation,713,23765.0,23898.33333,133.333333,23730.0,00:23.8,229.67,274.3,32,59,,building pavement person person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical plant_vertical plant_vertical plant_vertical pole sky sky,person
45,BDL004_Goose_EyeTracking_Walk.mov,47,fixation,737,24600.0,24700.0,100.0,24531.66667,00:24.6,351.43,394.35,63,58,,building pavement person plant_horizontal plant_vertical plant_vertical pole sky sky,
46,BDL004_Goose_EyeTracking_Walk.mov,48,fixation,775,24700.0,27103.33333,2403.333333,25800.0,00:25.9,348.77,387.83,52,52,,bench_chair building building pavement pavement person plant_horizontal plant_vertical plant_vertical pole sky sky,plant_horizontal
47,BDL004_Goose_EyeTracking_Walk.mov,49,fixation,815,27170.0,27336.66667,166.666667,27135.0,00:27.2,360.35,418.15,58,72,,building building building pavement pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky,plant_horizontal
48,BDL004_Goose_EyeTracking_Walk.mov,50,fixation,834,27836.66667,27936.66667,100.0,27768.33333,00:27.8,332.74,419.94,60,72,,bench_chair building pavement person person plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky sky,plant_horizontal
49,BDL004_Goose_EyeTracking_Walk.mov,51,fixation,870,29005.0,29138.33333,133.333333,28970.0,00:29.0,318.87,458.48,70,70,,bench_chair building person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical pole sky,bench_chair
50,BDL004_Goose_EyeTracking_Walk.mov,52,fixation,879,29271.66667,29506.66667,235.0,29271.66667,00:29.3,336.23,396.71,67,73,,bench_chair bench_chair building building pavement person plant_horizontal plant_vertical plant_vertical pole sky,plant_horizontal
51,BDL004_Goose_EyeTracking_Walk.mov,53,fixation,906,29973.33333,30573.33333,600.0,30171.66667,00:30.2,266.52,284.57,92,92,,building building building building pavement pavement pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical sky,person
52,BDL004_Goose_EyeTracking_Walk.mov,54,fixation,923,30775.0,30941.66667,166.666667,30740.0,00:30.8,199.65,412.55,124,124,,building building building person plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical plant_vertical sky sky sky,person
53,BDL004_Goose_EyeTracking_Walk.mov,55,fixation,931,31041.66667,31175.0,133.333333,31006.66667,00:31.1,198.25,325.21,124,124,,building person plant_vertical sky sky,person
54,BDL004_Goose_EyeTracking_Walk.mov,56,fixation,960,32043.33333,32143.33333,100.0,31975.0,00:32.0,142.86,195.09,131,107,,person plant_horizontal,plant_horizontal
55,BDL004_Goose_EyeTracking_Walk.mov,57,fixation,965,32176.66667,32310.0,133.333333,32141.66667,00:32.2,153.64,155.37,103,109,,building plant_horizontal,plant_horizontal
56,BDL004_Goose_EyeTracking_Walk.mov,58,fixation,969,32343.33333,32443.33333,100.0,32275.0,00:32.3,156.05,105.75,139,114,,building plant_horizontal,plant_horizontal
57,BDL004_Goose_EyeTracking_Walk.mov,59,fixation,976,32576.66667,32676.66667,100.0,32508.33333,00:32.6,183.35,175.32,164,118,,building building pavement plant_horizontal,plant_horizontal
58,BDL004_Goose_EyeTracking_Walk.mov,60,fixation,985,32843.33333,32976.66667,133.333333,32808.33333,00:32.9,217.53,333.1,66,113,,building pavement plant_horizontal plant_vertical,plant_horizontal
59,BDL004_Goose_EyeTracking_Walk.mov,61,fixation,990,33010.0,33178.33333,168.333333,32975.0,00:33.0,229.3,322.33,59,103,,building plant_horizontal plant_vertical,plant_horizontal plant_vertical
60,BDL004_Goose_EyeTracking_Walk.mov,62,fixation,1001,33378.33333,33511.66667,133.333333,33343.33333,00:33.4,213.86,144.09,87,120,,building pavement plant_horizontal plant_vertical,plant_horizontal
61,BDL004_Goose_EyeTracking_Walk.mov,63,fixation,1016,33911.66667,34011.66667,100.0,33843.33333,00:33.9,225.99,154.84,141,102,,building pavement person plant_horizontal plant_vertical plant_vertical,plant_horizontal
62,BDL004_Goose_EyeTracking_Walk.mov,64,fixation,1024,34145.0,34311.66667,166.666667,34110.0,00:34.2,176.44,69.2,77,97,,pavement plant_horizontal plant_vertical plant_vertical,plant_horizontal
63,BDL004_Goose_EyeTracking_Walk.mov,65,fixation,1031,34345.0,34546.66667,201.666667,34345.0,00:34.4,237.85,323.49,64,108,,building plant_horizontal,plant_horizontal
64,BDL004_Goose_EyeTracking_Walk.mov,66,fixation,1046,34913.33333,35013.33333,100.0,34845.0,00:34.9,127.63,232.69,109,146,,building plant_horizontal plant_vertical plant_vertical pole sky,plant_vertical plant_horizontal
65,BDL004_Goose_EyeTracking_Walk.mov,67,fixation,1050,35013.33333,35146.66667,133.333333,34978.33333,00:35.0,107.38,239.67,137,89,,building pavement plant_horizontal plant_vertical sky,plant_horizontal plant_vertical
66,BDL004_Goose_EyeTracking_Walk.mov,68,fixation,1073,35815.0,35915.0,100.0,35746.66667,00:35.8,190.83,123.81,77,96,,building plant_horizontal plant_vertical,plant_horizontal
67,BDL004_Goose_EyeTracking_Walk.mov,69,fixation,1079,36015.0,36115.0,100.0,35946.66667,00:36.0,157.91,55.92,76,96,,building pavement plant_horizontal,pavement
68,BDL004_Goose_EyeTracking_Walk.mov,70,fixation,1090,36348.33333,36481.66667,133.333333,36313.33333,00:36.4,207.35,343.12,55,72,,building pavement plant_horizontal plant_vertical,plant_horizontal
69,BDL004_Goose_EyeTracking_Walk.mov,71,fixation,1097,36615.0,36715.0,100.0,36546.66667,00:36.6,183.9,334.25,53,50,,building pavement plant_horizontal plant_vertical pole sky,plant_horizontal
70,BDL004_Goose_EyeTracking_Walk.mov,72,fixation,1116,37183.33333,37416.66667,233.333333,37181.66667,00:37.3,83.06,196.55,60,48,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky,
71,BDL004_Goose_EyeTracking_Walk.mov,73,fixation,1137,37650.0,38318.33333,668.333333,37881.66667,00:38.0,212.55,328.01,63,51,,building building building pavement pavement person plant_horizontal plant_vertical plant_vertical plant_vertical sky sky,building
72,BDL004_Goose_EyeTracking_Walk.mov,74,fixation,1151,38385.0,38518.33333,133.333333,38350.0,00:38.4,162.48,272.82,47,24,,building building building building building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky,person
73,BDL004_Goose_EyeTracking_Walk.mov,75,fixation,1172,38518.33333,39820.0,1301.666667,39050.0,00:39.1,186.47,293.13,53,47,,building pavement person person person plant_horizontal plant_vertical plant_vertical plant_vertical sky,person
74,BDL004_Goose_EyeTracking_Walk.mov,76,fixation,1197,39953.33333,40053.33333,100.0,39885.0,00:40.0,246.58,370.69,76,76,,building person person plant_vertical plant_vertical plant_vertical plant_vertical plant_vertical sky sky,person
75,BDL004_Goose_EyeTracking_Walk.mov,77,fixation,1202,40120.0,40220.0,100.0,40051.66667,00:40.1,193.93,383.71,68,80,,building building pavement person plant_vertical plant_vertical plant_vertical plant_vertical sky,
76,BDL004_Goose_EyeTracking_Walk.mov,78,fixation,1224,40788.33333,41021.66667,233.333333,40786.66667,00:40.9,351.35,349.13,53,43,,building building building pavement person plant_horizontal plant_vertical pole sky,pavement
77,BDL004_Goose_EyeTracking_Walk.mov,79,fixation,1253,41421.66667,42323.33333,901.666667,41753.33333,00:41.8,230.37,237.6,50,59,,building building pavement pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical sky,
78,BDL004_Goose_EyeTracking_Walk.mov,80,fixation,1271,42423.33333,42523.33333,100.0,42355.0,00:42.4,288.26,324.02,81,83,,building building building pavement person plant_vertical plant_vertical sky,person
79,BDL004_Goose_EyeTracking_Walk.mov,81,fixation,1312,43791.66667,43891.66667,100.0,43723.33333,00:43.8,325.2,343.32,54,56,,building pavement pavement person person person person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky sky sky sky,
80,BDL004_Goose_EyeTracking_Walk.mov,82,fixation,1339,44626.66667,44860.0,233.333333,44625.0,00:44.7,271.78,300.71,80,64,,building building building pavement pavement person person person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky sky,plant_vertical
81,BDL004_Goose_EyeTracking_Walk.mov,83,fixation,1350,44860.0,45326.66667,466.666667,44991.66667,00:45.1,279.97,300.9,72,72,,building pavement pavement person person person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky,person
82,BDL004_Goose_EyeTracking_Walk.mov,84,fixation,1371,45760.0,45860.0,100.0,45691.66667,00:45.8,325.61,303.94,49,47,,building building pavement person person plant_horizontal plant_horizontal plant_vertical sky,
83,BDL004_Goose_EyeTracking_Walk.mov,85,fixation,1376,45860.0,46061.66667,201.666667,45860.0,00:45.9,309.81,278.16,52,50,,building building building building person person person plant_vertical plant_vertical sky sky,person
84,BDL004_Goose_EyeTracking_Walk.mov,86,fixation,1389,46328.33333,46495.0,166.666667,46293.33333,00:46.4,353.74,346.53,47,49,,building building pavement person person plant_horizontal plant_vertical plant_vertical sky sky,
85,BDL004_Goose_EyeTracking_Walk.mov,87,fixation,1399,46695.0,46795.0,100.0,46626.66667,00:46.7,198.79,427.24,72,75,,building pavement person person plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical sky sky,pavement
86,BDL004_Goose_EyeTracking_Walk.mov,88,fixation,1417,47061.66667,47596.66667,535.0,47228.33333,00:47.3,274.04,354.09,68,68,,building pavement person person plant_horizontal plant_vertical sky,plant_horizontal
87,BDL004_Goose_EyeTracking_Walk.mov,89,fixation,1429,47663.33333,47830.0,166.666667,47628.33333,00:47.7,211.72,464.12,30,35,,building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical sky sky,pavement
88,BDL004_Goose_EyeTracking_Walk.mov,90,fixation,1446,47896.66667,48731.66667,835.0,48195.0,00:48.3,281.89,367.04,68,68,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky sky sky,plant_horizontal plant_horizontal
89,BDL004_Goose_EyeTracking_Walk.mov,91,fixation,1462,48731.66667,48931.66667,200.0,48730.0,00:48.8,298.85,356.43,34,0,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical sky sky,plant_horizontal plant_horizontal
90,BDL004_Goose_EyeTracking_Walk.mov,92,fixation,1469,48931.66667,49198.33333,266.666667,48963.33333,00:49.0,312.7,353.09,68,68,,building building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky sky,plant_horizontal plant_horizontal
91,BDL004_Goose_EyeTracking_Walk.mov,93,fixation,1476,49231.66667,49398.33333,166.666667,49196.66667,00:49.3,318.36,360.32,59,68,,building building pavement person plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical sky,plant_horizontal
92,BDL004_Goose_EyeTracking_Walk.mov,94,fixation,1482,49465.0,49565.0,100.0,49396.66667,00:49.5,271.97,364.23,68,68,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky,plant_horizontal plant_horizontal
93,BDL004_Goose_EyeTracking_Walk.mov,95,fixation,1489,49700.0,49800.0,100.0,49631.66667,00:49.7,376.15,350.97,25,48,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky sky,plant_horizontal plant_horizontal
94,BDL004_Goose_EyeTracking_Walk.mov,96,fixation,1493,49833.33333,49933.33333,100.0,49765.0,00:49.8,305.47,357.09,72,72,,building building pavement person plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical sky,plant_horizontal
95,BDL004_Goose_EyeTracking_Walk.mov,97,fixation,1518,50500.0,50900.0,400.0,50598.33333,00:50.7,273.96,372.99,59,68,,building building pavement pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky,plant_horizontal plant_horizontal
96,BDL004_Goose_EyeTracking_Walk.mov,98,fixation,1526,50900.0,51068.33333,168.333333,50865.0,00:50.9,226.17,367.78,22,68,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical sky,plant_horizontal plant_horizontal
97,BDL004_Goose_EyeTracking_Walk.mov,99,fixation,1549,51535.0,51935.0,400.0,51633.33333,00:51.7,259.37,308.35,72,66,,building person plant_horizontal plant_horizontal plant_horizontal pole,plant_horizontal
98,BDL004_Goose_EyeTracking_Walk.mov,100,fixation,1560,52001.66667,52201.66667,200.0,52000.0,00:52.1,246.1,250.98,77,60,,building pavement pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky sky sky,plant_horizontal
99,BDL004_Goose_EyeTracking_Walk.mov,101,fixation,1564,52201.66667,52303.33333,101.666667,52133.33333,00:52.2,264.24,277.33,81,61,,building pavement pavement pavement person person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky sky,pavement pavement plant_horizontal
100,BDL004_Goose_EyeTracking_Walk.mov,102,fixation,1568,52303.33333,52436.66667,133.333333,52268.33333,00:52.3,229.15,329.8,43,19,,building pavement pavement pavement person person plant_horizontal plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky sky sky,pavement pavement
101,BDL004_Goose_EyeTracking_Walk.mov,103,fixation,1576,52603.33333,52703.33333,100.0,52535.0,00:52.6,218.44,408.19,63,62,,building pavement person person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical pole sky,plant_horizontal
102,BDL004_Goose_EyeTracking_Walk.mov,104,fixation,1582,52770.0,52903.33333,133.333333,52735.0,00:52.8,252.16,444.7,28,54,,building pavement pavement person person person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical pole sky sky,plant_horizontal
103,BDL004_Goose_EyeTracking_Walk.mov,105,fixation,1597,53236.66667,53470.0,233.333333,53235.0,00:53.3,247.52,394.15,38,37,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical pole sky sky sky sky sky,pavement
104,BDL004_Goose_EyeTracking_Walk.mov,106,fixation,1604,53470.0,53671.66667,201.666667,53470.0,00:53.5,279.29,371.41,32,33,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical pole sky,pavement
105,BDL004_Goose_EyeTracking_Walk.mov,107,fixation,1609,53705.0,53805.0,100.0,53636.66667,00:53.7,395.0,383.83,38,19,,building building pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky,pavement
106,BDL004_Goose_EyeTracking_Walk.mov,108,fixation,1619,53971.666670000006,54171.666670000006,200.0,53970.0,00:54.0,212.44,422.42,104,104,,building building pavement person person plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky,pavement
107,BDL004_Goose_EyeTracking_Walk.mov,109,fixation,1629,54305.0,54505.0,200.0,54303.333329999994,00:54.4,199.04,420.99,0,0,,building building pavement plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical pole sky,pavement
108,BDL004_Goose_EyeTracking_Walk.mov,110,fixation,1644,54873.333329999994,54973.333329999994,100.0,54805.0,00:54.9,209.32,415.62,110,112,,building building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical pole sky sky sky sky,pavement
109,BDL004_Goose_EyeTracking_Walk.mov,111,fixation,1649,54973.333329999994,55206.666670000006,233.333333,54971.666670000006,00:55.0,191.06,425.52,55,37,,building building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky,
110,BDL004_Goose_EyeTracking_Walk.mov,112,fixation,1669,55673.333329999994,55806.666670000006,133.333333,55638.333329999994,00:55.7,248.71,362.88,69,60,,building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical pole sky sky,
111,BDL004_Goose_EyeTracking_Walk.mov,113,fixation,1690,56408.333329999994,56508.333329999994,100.0,56340.0,00:56.4,169.62,293.48,80,72,,building building pavement person person plant_vertical sky sky,person
112,BDL004_Goose_EyeTracking_Walk.mov,114,fixation,1735,57910.0,58010.0,100.0,57841.666670000006,00:57.9,347.45,363.84,91,87,,building construction pavement person plant_horizontal plant_vertical plant_vertical plant_vertical pole,plant_vertical
113,BDL004_Goose_EyeTracking_Walk.mov,115,fixation,1742,58143.333329999994,58243.333329999994,100.0,58075.0,00:58.1,282.66,387.56,79,82,,building plant_horizontal plant_horizontal plant_vertical pole sky,plant_horizontal
114,BDL004_Goose_EyeTracking_Walk.mov,116,fixation,1752,58476.666670000006,58576.666670000006,100.0,58408.333329999994,00:58.5,215.16,413.19,92,86,,building building pavement plant_horizontal plant_horizontal plant_vertical pole sculpture sky,plant_horizontal
115,BDL004_Goose_EyeTracking_Walk.mov,117,fixation,1757,58611.666670000006,58745.0,133.333333,58576.666670000006,00:58.6,235.73,396.13,83,100,,building car pavement person plant_horizontal plant_horizontal pole sky sky,person
116,BDL004_Goose_EyeTracking_Walk.mov,118,fixation,1767,58911.666670000006,59111.666670000006,200.0,58910.0,00:59.0,308.24,348.33,71,60,,building building pavement pavement pavement pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky,person
117,BDL004_Goose_EyeTracking_Walk.mov,119,fixation,1779,59311.666670000006,59511.666670000006,200.0,59310.0,00:59.4,205.43,424.76,10,30,,building building building pavement pavement plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky sky sky sky,pavement
118,BDL004_Goose_EyeTracking_Walk.mov,120,fixation,1801,59811.666670000006,60513.333329999994,701.666667,60045.0,01:00.1,142.42,237.0,53,54,,building building construction pavement pavement pavement person person plant_vertical plant_vertical plant_vertical sky,
119,BDL004_Goose_EyeTracking_Walk.mov,121,fixation,1815,60546.666670000006,60680.0,133.333333,60511.666670000006,01:00.6,138.96,283.79,71,69,,building pavement person person plant_horizontal plant_vertical plant_vertical plant_vertical sky,person
120,BDL004_Goose_EyeTracking_Walk.mov,122,fixation,1831,60813.333329999994,61515.0,701.666667,61045.0,01:01.1,149.95,256.58,69,61,,building person person plant_vertical plant_vertical sky sky sky,person
121,BDL004_Goose_EyeTracking_Walk.mov,123,fixation,1844,61548.333329999994,61648.333329999994,100.0,61480.0,01:01.5,160.34,321.67,73,72,,building person plant_vertical plant_vertical,person
122,BDL004_Goose_EyeTracking_Walk.mov,124,fixation,1857,61648.333329999994,62381.666670000006,733.333333,61913.333329999994,01:02.0,185.32,368.43,66,67,,building person plant_horizontal plant_vertical plant_vertical sky,person
