,/Users/pslive1/Documents/Walk_Projext/BDL037_Suna_Walk_Take2/BDL037_Suna_EyeTracking_Walk2_Render/BDL037_Suna_EyeTracking_Walk2_Render.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes,all_classes,fixation_classes,fixation_classes_no_background,union_areas,percentage_area
10,BDL037_Suna_EyeTracking_Walk2_Render.mov,10,fixation,160,5273.333333,5475.0,201.666667,4971.666667,00:00:05.34000,233.48,230.25,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical,person: 1.0 background: 0.0,person: 1.0,0.8784244791666667,person:0.39376953125 building:0.03131184895833333 plant_horizontal:0.07538736979166666 pavement:0.35644205729166667 plant_vertical:0.03097005208333333
11,BDL037_Suna_EyeTracking_Walk2_Render.mov,11,fixation,168,5575.0,5708.333333,133.333333,5240.0,00:00:05.60800,390.65,248.28,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical,pavement: 1.0 background: 0.0,pavement: 1.0,0.8357161458333333,person:0.37131184895833336 plant_horizontal:0.06887369791666667 building:0.028837890625 plant_vertical:0.028766276041666667 pavement:0.359453125
12,BDL037_Suna_EyeTracking_Walk2_Render.mov,12,fixation,174,5741.666667,5975.0,233.333333,5440.0,00:00:05.80800,266.46,288.87,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical,person: 1.0 background: 0.0,person: 1.0,0.86291015625,person:0.3921126302083333 plant_horizontal:0.07646809895833334 building:0.031507161458333335 pavement:0.341318359375 plant_vertical:0.03417317708333333
13,BDL037_Suna_EyeTracking_Walk2_Render.mov,13,fixation,186,6041.666667,6441.666667,400.0,5840.0,00:00:06.20800,217.79,230.25,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical,person: 1.0 background: 0.0,person: 1.0,0.8411490885416667,person:0.4122819010416667 plant_horizontal:0.08347656249999999 pavement:0.286552734375 building:0.03917317708333333 plant_vertical:0.029856770833333334
14,BDL037_Suna_EyeTracking_Walk2_Render.mov,14,fixation,223,7210.0,7776.666667,566.666667,7075.0,00:00:07.44300,276.34,439.5,-1000.0,-1000.0,,,,building building building pavement person plant_horizontal plant_vertical plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.8199934895833333,person:0.36926432291666667 building:0.10553385416666668 sky:0.14860026041666669 plant_vertical:0.10277994791666668 plant_horizontal:0.0289453125 pavement:0.10296223958333334
15,BDL037_Suna_EyeTracking_Walk2_Render.mov,15,fixation,236,7843.333333,7976.666667,133.333333,7508.333333,00:00:07.87700,297.97,404.63,-1000.0,-1000.0,,,,building building pavement person plant_vertical plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.75390625,person:0.31712890625 building:0.077880859375 sky:0.13011393229166668 pavement:0.13958984375 plant_vertical:0.09644856770833334
16,BDL037_Suna_EyeTracking_Walk2_Render.mov,16,fixation,247,8245.0,8345.0,100.0,7876.666667,00:00:08.24500,201.05,347.91,-1000.0,-1000.0,,,,building pavement pavement person plant_horizontal plant_vertical plant_vertical sky,person: 0.5036827195467423 pavement: 0.4963172804532578 background: 0.0,person: 0.5036827195467423 pavement: 0.4963172804532578,0.8319270833333333,person:0.4203190104166667 plant_vertical:0.06303385416666667 building:0.021949869791666667 sky:0.015852864583333334 plant_horizontal:0.04512044270833333 pavement:0.33686197916666666
17,BDL037_Suna_EyeTracking_Walk2_Render.mov,17,fixation,275,8978.333333,9480.0,501.666667,8810.0,00:00:09.17800,245.05,388.08,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_vertical plant_vertical plant_vertical sky sky sky,person: 1.0 background: 0.0,person: 1.0,0.7653515625,person:0.3257975260416667 sky:0.19208333333333333 building:0.08552408854166667 plant_horizontal:0.0338671875 plant_vertical:0.05558268229166667 pavement:0.16504557291666666
18,BDL037_Suna_EyeTracking_Walk2_Render.mov,18,fixation,287,9580.0,9680.0,100.0,9211.666667,00:00:09.58000,286.89,342.53,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_vertical plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.84234375,person:0.38873697916666666 building:0.07796875 sky:0.06103515625 plant_vertical:0.10006510416666667 pavement:0.20868815104166666 plant_horizontal:0.034833984375
19,BDL037_Suna_EyeTracking_Walk2_Render.mov,19,fixation,293,9746.666667,9880.0,133.333333,9411.666667,00:00:09.78000,297.17,326.03,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_vertical plant_vertical sky sky,pavement: 1.0 background: 0.0,pavement: 1.0,0.8929329427083333,person:0.3325553385416667 sky:0.05496744791666666 pavement:0.388671875 plant_vertical:0.08960611979166666 plant_horizontal:0.05591796875 building:0.03341471354166667
20,BDL037_Suna_EyeTracking_Walk2_Render.mov,20,fixation,299,9913.333333,10146.666667,233.333333,9611.666667,00:00:09.98000,399.52,384.46,-1000.0,-1000.0,,,,pavement person plant_horizontal plant_vertical plant_vertical sky,person: 1.0 background: 0.0,person: 1.0,0.8016796875,person:0.40667317708333334 sky:0.03917317708333334 pavement:0.4006640625 plant_vertical:0.062666015625 plant_horizontal:0.09000325520833333
21,BDL037_Suna_EyeTracking_Walk2_Render.mov,21,fixation,308,10180.0,10446.666667,266.666667,9911.666667,00:00:10.28000,285.05,313.43,-1000.0,-1000.0,,,,pavement person plant_horizontal plant_vertical sky,person: 0.9694656488549618 pavement: 0.030534351145038167 background: 0.0,person: 0.9694656488549618 pavement: 0.030534351145038167,0.84419921875,person:0.4007486979166667 sky:0.032685546875 pavement:0.45673828125 plant_vertical:0.044951171875 plant_horizontal:0.09262369791666666
22,BDL037_Suna_EyeTracking_Walk2_Render.mov,22,fixation,323,10748.333333,10915.0,166.666667,10413.333333,00:00:10.78200,248.83,380.83,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_vertical plant_vertical plant_vertical sky sky,person: 0.5 pavement: 0.5 background: 0.0,person: 0.5 pavement: 0.5,0.8237272135416667,person:0.420185546875 sky:0.05196614583333333 plant_vertical:0.08412760416666668 pavement:0.271630859375 building:0.16451171875 plant_horizontal:0.045234375
23,BDL037_Suna_EyeTracking_Walk2_Render.mov,23,fixation,335,11115.0,11348.333333,233.333333,10813.333333,00:00:11.18200,189.64,409.72,-1000.0,-1000.0,,,,building building pavement person plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.7079036458333333,person:0.38055013020833334 building:0.07388671875 plant_vertical:0.06055013020833333 sky:0.06698893229166666 pavement:0.13310546875
24,BDL037_Suna_EyeTracking_Walk2_Render.mov,24,fixation,343,11415.0,11548.333333,133.333333,11080.0,00:00:11.44800,173.76,228.3,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_vertical plant_vertical sky sky,person: 0.9493813273340832 background: 0.05061867266591676,person: 1.0,0.79142578125,person:0.38195963541666667 building:0.111875 sky:0.09242513020833333 plant_horizontal:0.025400390625 plant_vertical:0.029130859375 pavement:0.164130859375
25,BDL037_Suna_EyeTracking_Walk2_Render.mov,25,fixation,347,11548.333333,11715.0,166.666667,11213.333333,00:00:11.58200,152.87,295.79,-1000.0,-1000.0,,,,building building building pavement pavement person plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical sky,pavement: 1.0 background: 0.0,pavement: 1.0,0.8156868489583333,person:0.4056575520833333 plant_vertical:0.13060221354166668 building:0.10548828124999998 sky:0.03598958333333333 plant_horizontal:0.017610677083333335 pavement:0.16295247395833334
26,BDL037_Suna_EyeTracking_Walk2_Render.mov,26,fixation,354,11781.666667,11915.0,133.333333,11446.666667,00:00:11.81500,201.31,394.14,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_vertical plant_vertical sky sky,person: 0.7772778402699663 background: 0.22272215973003376,person: 1.0,0.69130859375,person:0.41364908854166665 sky:0.06915690104166666 building:0.11896809895833332 plant_horizontal:0.016800130208333333 plant_vertical:0.050107421875 pavement:0.04634114583333333
27,BDL037_Suna_EyeTracking_Walk2_Render.mov,27,fixation,359,11948.333333,12116.666667,168.333333,11613.333333,00:00:11.98200,157.86,218.29,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical sky sky,building: 1.0 background: 0.0,building: 1.0,0.7528678385416666,person:0.4014615885416667 sky:0.07841796875000001 plant_horizontal:0.0275 plant_vertical:0.09324544270833333 building:0.09045572916666668 pavement:0.07229817708333333
28,BDL037_Suna_EyeTracking_Walk2_Render.mov,28,fixation,368,12216.666667,12416.666667,200.0,11915.0,00:00:12.28300,156.51,224.53,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_vertical sky,plant_vertical: 0.672665916760405 background: 0.32733408323959506,plant_vertical: 1.0,0.606572265625,person:0.4376041666666667 plant_vertical:0.030992838541666668 building:0.133623046875 pavement:0.031930338541666665 plant_horizontal:0.005546875 sky:0.01896484375
29,BDL037_Suna_EyeTracking_Walk2_Render.mov,29,fixation,373,12416.666667,12550.0,133.333333,12081.666667,00:00:12.45000,224.76,316.29,-1000.0,-1000.0,,,,building person plant_horizontal plant_horizontal plant_vertical sky sky,background: 1.0,,0.6247265625,person:0.40349609375 sky:0.09521484375 plant_vertical:0.031617838541666665 plant_horizontal:0.04162109375 building:0.09528645833333334
30,BDL037_Suna_EyeTracking_Walk2_Render.mov,30,fixation,382,12716.666667,12850.0,133.333333,12381.666667,00:00:12.75000,156.41,401.24,-1000.0,-1000.0,,,,building building building person plant_vertical plant_vertical plant_vertical sky sky,background: 1.0,,0.695048828125,sky:0.13575520833333332 person:0.378359375 plant_vertical:0.080751953125 building:0.14371744791666669
31,BDL037_Suna_EyeTracking_Walk2_Render.mov,31,fixation,386,12850.0,13016.666667,166.666667,12515.0,00:00:12.88300,155.63,227.77,-1000.0,-1000.0,,,,building building person plant_horizontal plant_vertical plant_vertical sky sky,building: 1.0 background: 0.0,building: 1.0,0.6860481770833333,sky:0.13287434895833333 person:0.37623046875 plant_vertical:0.06796549479166666 building:0.11726888020833333 plant_horizontal:0.01679036458333333
32,BDL037_Suna_EyeTracking_Walk2_Render.mov,32,fixation,398,13283.333333,13385.0,101.666667,12915.0,00:00:13.28300,130.47,289.54,-1000.0,-1000.0,,,,building building building pavement person plant_horizontal plant_vertical plant_vertical plant_vertical plant_vertical plant_vertical sky sky sky,building: 0.4246894409937888 plant_vertical: 0.3781055900621118 background: 0.1972049689440994,building: 0.5290135396518375 plant_vertical: 0.4709864603481625,0.8039322916666667,person:0.3638606770833333 building:0.12352213541666666 sky:0.25448242187500003 plant_vertical:0.16056315104166666 pavement:0.08292317708333333 plant_horizontal:0.021845703125
33,BDL037_Suna_EyeTracking_Walk2_Render.mov,33,fixation,408,13585.0,13718.333333,133.333333,13250.0,00:00:13.61800,270.82,375.94,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_vertical plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.812626953125,building:0.09474609375000001 person:0.351845703125 sky:0.13373697916666666 plant_vertical:0.10575846354166667 pavement:0.11825520833333333 plant_horizontal:0.033671875
34,BDL037_Suna_EyeTracking_Walk2_Render.mov,34,fixation,412,13718.333333,13885.0,166.666667,13383.333333,00:00:13.75200,260.75,352.73,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.7621028645833333,person:0.33765625 building:0.102607421875 sky:0.13296875 pavement:0.1100390625 plant_horizontal:0.033118489583333334 plant_vertical:0.05914388020833333
35,BDL037_Suna_EyeTracking_Walk2_Render.mov,35,fixation,426,14151.666667,14351.666667,200.0,13850.0,00:00:14.21800,224.27,386.25,-1000.0,-1000.0,,,,building building building pavement person plant_horizontal plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.8417317708333333,person:0.359619140625 plant_horizontal:0.04235026041666667 sky:0.066142578125 building:0.12744140625 plant_vertical:0.07537760416666667 pavement:0.21111002604166668
36,BDL037_Suna_EyeTracking_Walk2_Render.mov,36,fixation,434,14485.0,14585.0,100.0,14116.666667,00:00:14.48500,248.03,456.24,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_vertical plant_vertical sky sky,person: 0.3160854893138358 background: 0.6839145106861643,person: 1.0,0.7851171875,person:0.3498665364583333 building:0.06749348958333333 plant_horizontal:0.041708984375 sky:0.0884765625 pavement:0.16772786458333333 plant_vertical:0.07727864583333333
37,BDL037_Suna_EyeTracking_Walk2_Render.mov,37,fixation,448,14853.333333,15120.0,266.666667,14585.0,00:00:14.95300,245.18,461.17,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_vertical plant_vertical plant_vertical sky sky,person: 0.655793025871766 background: 0.344206974128234,person: 1.0,0.787138671875,person:0.3567838541666667 building:0.08665364583333333 pavement:0.1346875 sky:0.10756510416666666 plant_vertical:0.08226236979166668 plant_horizontal:0.03348307291666667
38,BDL037_Suna_EyeTracking_Walk2_Render.mov,38,fixation,455,15120.0,15353.333333,233.333333,14818.333333,00:00:15.18700,201.21,243.57,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.7926692708333334,person:0.3196256510416667 pavement:0.19006510416666667 building:0.08149414062499999 plant_vertical:0.05688151041666667 plant_horizontal:0.04395182291666667 sky:0.10931966145833333
39,BDL037_Suna_EyeTracking_Walk2_Render.mov,39,fixation,472,15420.0,16155.0,735.0,15385.0,00:00:15.75300,195.39,351.85,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical sky sky sky,person: 1.0 background: 0.0,person: 1.0,0.8322135416666666,person:0.347724609375 sky:0.059677734375 building:0.036090494791666664 plant_horizontal:0.08457682291666667 pavement:0.2876334635416667 plant_vertical:0.06383138020833333
40,BDL037_Suna_EyeTracking_Walk2_Render.mov,40,fixation,490,16255.0,16555.0,300.0,15986.666667,00:00:16.35500,231.84,339.49,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.8620377604166667,person:0.3704752604166667 sky:0.05694661458333333 building:0.05374348958333333 plant_vertical:0.06736653645833333 pavement:0.3472395833333333 plant_horizontal:0.03708984375
41,BDL037_Suna_EyeTracking_Walk2_Render.mov,41,fixation,506,16821.666666999998,17055.0,233.333333,16520.0,00:00:16.88800,163.85,310.66,-1000.0,-1000.0,,,,building building building pavement pavement person plant_horizontal plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.8561946614583333,person:0.35809244791666667 sky:0.06359375 building:0.09384440104166666 plant_vertical:0.07326497395833333 plant_horizontal:0.045029296875 pavement:0.2566829427083333
42,BDL037_Suna_EyeTracking_Walk2_Render.mov,42,fixation,520,17355.0,17456.666666999998,101.666667,16986.666666999998,00:00:17.35500,202.37,328.48,-1000.0,-1000.0,,,,building building pavement pavement person plant_horizontal plant_vertical plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.81251953125,person:0.37109700520833333 building:0.0862890625 sky:0.05848307291666667 pavement:0.21731770833333333 plant_horizontal:0.034788411458333335 plant_vertical:0.06057942708333333
43,BDL037_Suna_EyeTracking_Walk2_Render.mov,43,fixation,533,17790.0,17890.0,100.0,17421.666666999998,00:00:17.79000,169.43,302.02,-1000.0,-1000.0,,,,building building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky,person: 1.0 background: 0.0,person: 1.0,0.78751953125,person:0.42965494791666664 building:0.13345377604166667 plant_horizontal:0.093173828125 plant_vertical:0.057171223958333336 pavement:0.15210611979166666 sky:0.017802734375
44,BDL037_Suna_EyeTracking_Walk2_Render.mov,44,fixation,546,18090.0,18456.666666999998,366.666667,17855.0,00:00:18.22300,227.04,458.82,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical sky sky,person: 0.592800899887514 background: 0.40719910011248595,person: 1.0,0.763212890625,person:0.4038216145833333 building:0.07779296875 sky:0.067958984375 plant_vertical:0.053720703125 plant_horizontal:0.04453776041666666 pavement:0.13699544270833333
45,BDL037_Suna_EyeTracking_Walk2_Render.mov,45,fixation,573,19058.333333000002,19258.333333000002,200.0,18756.666666999998,00:00:19.12500,447.29,181.81,-1000.0,-1000.0,,,,building pavement person person plant_horizontal plant_vertical sky sky,pavement: 1.0 background: 0.0,pavement: 1.0,0.7564290364583334,pavement:0.42595052083333335 sky:0.05165364583333334 person:0.15525716145833332 plant_horizontal:0.05322265625 building:0.02791015625 plant_vertical:0.045748697916666664
46,BDL037_Suna_EyeTracking_Walk2_Render.mov,46,fixation,578,19291.666666999998,19391.666666999998,100.0,18923.333333000002,00:00:19.29200,414.61,154.19,-1000.0,-1000.0,,,,building pavement person person plant_horizontal plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.8573763020833334,pavement:0.3733268229166667 sky:0.05510091145833333 person:0.31680989583333335 plant_horizontal:0.04376953125 building:0.029348958333333335 plant_vertical:0.11647135416666667
47,BDL037_Suna_EyeTracking_Walk2_Render.mov,47,fixation,583,19391.666666999998,19625.0,233.333333,19090.0,00:00:19.45800,392.97,188.74,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_vertical plant_vertical sky sky,person: 0.7919010123734533 background: 0.2080989876265467,person: 1.0,0.8376953125,pavement:0.40232747395833335 person:0.28246419270833334 sky:0.05206380208333333 plant_horizontal:0.03748046875 plant_vertical:0.09409830729166666 building:0.035309244791666666
48,BDL037_Suna_EyeTracking_Walk2_Render.mov,48,fixation,616,20326.666666999998,20860.0,533.333333,20191.666666999998,00:00:20.56000,243.73,271.38,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_vertical,person: 1.0 background: 0.0,person: 1.0,0.8673079427083333,person:0.3596875 pavement:0.4446484375 plant_horizontal:0.04362955729166667 building:0.020904947916666666 plant_vertical:0.016295572916666667
49,BDL037_Suna_EyeTracking_Walk2_Render.mov,49,fixation,645,21126.666666999998,22028.333333000002,901.666667,21160.0,00:00:21.52800,349.62,153.06,-1000.0,-1000.0,,,,building pavement person person plant_horizontal plant_vertical sky,pavement: 1.0 background: 0.0,pavement: 1.0,0.7927734375,person:0.3367415364583333 plant_horizontal:0.048977864583333336 pavement:0.38205403645833336 building:0.030550130208333335 sky:0.0006380208333333333 plant_vertical:0.024026692708333332
50,BDL037_Suna_EyeTracking_Walk2_Render.mov,50,fixation,664,22128.333333000002,22261.666666999998,133.333333,21793.333333000002,00:00:22.16200,410.26,157.27,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_vertical sky,pavement: 1.0 background: 0.0,pavement: 1.0,0.8616145833333333,person:0.309287109375 plant_horizontal:0.04708333333333333 pavement:0.4749446614583333 sky:0.0016959635416666666 building:0.024791666666666667 plant_vertical:0.02232421875
51,BDL037_Suna_EyeTracking_Walk2_Render.mov,51,fixation,685,22830.0,22963.333333000002,133.333333,22495.0,00:00:22.86300,379.74,163.36,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_horizontal plant_horizontal plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.8302962239583334,person:0.3396875 pavement:0.31671223958333333 plant_horizontal:0.1007421875 sky:0.036855468749999995 plant_vertical:0.059820963541666675 building:0.03772786458333333
52,BDL037_Suna_EyeTracking_Walk2_Render.mov,52,fixation,708,23530.0,23796.666666999998,266.666667,23261.666666999998,00:00:23.63000,280.0,284.03,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical,person: 1.0 background: 0.0,person: 1.0,0.8282942708333333,person:0.3839876302083333 plant_horizontal:0.07750325520833333 pavement:0.274541015625 plant_vertical:0.04045572916666666 building:0.06242838541666666
53,BDL037_Suna_EyeTracking_Walk2_Render.mov,53,fixation,753,23896.666666999998,26433.333333000002,2536.666667,24763.333333000002,00:00:25.13200,261.68,194.48,-1000.0,-1000.0,,,,building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical,person: 0.9726477024070022 pavement: 0.02735229759299781 background: 0.0,person: 0.9726477024070022 pavement: 0.02735229759299781,0.8398502604166667,person:0.35524088541666665 plant_horizontal:0.18568359375 building:0.05392903645833333 plant_vertical:0.019108072916666666 pavement:0.33025390625
54,BDL037_Suna_EyeTracking_Walk2_Render.mov,54,fixation,824,27068.333333,28035.0,966.666667,27133.333333,00:00:27.50200,169.6,52.68,-1000.0,-1000.0,,,,building building building pavement person plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky,person: 1.0 background: 0.0,person: 1.0,0.7601822916666666,person:0.2401171875 building:0.07598307291666666 pavement:0.29495442708333336 sky:0.028362630208333333 plant_horizontal:0.08433919270833333 plant_vertical:0.06365559895833332
55,BDL037_Suna_EyeTracking_Walk2_Render.mov,55,fixation,848,28170.0,28503.333333,333.333333,27935.0,00:00:28.30300,224.79,149.74,-1000.0,-1000.0,,,,building pavement person plant_horizontal plant_vertical pole sky,person: 1.0 background: 0.0,person: 1.0,0.760537109375,person:0.4471126302083333 pavement:0.16249348958333334 plant_horizontal:0.040830078125 plant_vertical:0.0746484375 sky:0.008430989583333333 building:0.03424479166666667 pole:0.011725260416666666
56,BDL037_Suna_EyeTracking_Walk2_Render.mov,56,fixation,856,28536.666667,28670.0,133.333333,28201.666667,00:00:28.57000,264.96,178.53,-1000.0,-1000.0,,,,building building building pavement person plant_horizontal plant_vertical plant_vertical sky sky,person: 1.0 background: 0.0,person: 1.0,0.7666569010416666,person:0.36486328125 building:0.055859375 plant_vertical:0.14066731770833332 pavement:0.21184244791666668 plant_horizontal:0.028170572916666668 sky:0.026549479166666667
57,BDL037_Suna_EyeTracking_Walk2_Render.mov,57,fixation,877,29203.333333,29405.0,201.666667,28901.666667,00:00:29.27000,230.58,222.04,-1000.0,-1000.0,,,,building pavement person plant_vertical plant_vertical pole sky sky sky sky,building: 1.0 background: 0.0,building: 1.0,0.7588509114583334,person:0.1911328125 pavement:0.302041015625 building:0.05169921875 plant_vertical:0.20644205729166668 sky:0.042041015625 pole:0.010279947916666667
